Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
ILE-DE-FRANCE,PARIS,75107,PARIS 7e,4417.0,3395137.0,18722.0,ificom-2022.xlsx,2022.0,48.8560825982,2.31243868773,82695074.0
GUADELOUPE,GUADELOUPE,97113,LE GOSIER,57.0,3260706.0,16404.0,ificom-2022.xlsx,2022.0,16.2252192032,-61.4698776652,935028.0
LES-HAUTS-DE-FRANCE,OISE,60057,BEAUVAIS,63.0,3063474.0,14153.0,ificom-2022.xlsx,2022.0,49.4365523321,2.08616123661,891639.0
ILE-DE-FRANCE,PARIS,75106,PARIS 6e,2899.0,3057838.0,15912.0,ificom-2022.xlsx,2022.0,48.8489680919,2.33267089859,46128888.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,707.0,3044836.0,12816.0,ificom-2022.xlsx,2022.0,43.5526202843,7.00427592728,9060912.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06029,CANNES,707.0,3044836.0,12816.0,ificom-2022.xlsx,2022.0,43.5526202843,7.00427592728,9060912.0
ILE-DE-FRANCE,PARIS,75116,PARIS 16e,9670.0,2950290.0,14342.0,ificom-2022.xlsx,2022.0,48.8603987604,2.2620995594,138687140.0
ILE-DE-FRANCE,PARIS,75116,PARIS 16e,9670.0,2950290.0,14342.0,ificom-2022.xlsx,2022.0,48.8603987604,2.2620995594,138687140.0
ILE-DE-FRANCE,PARIS,75108,PARIS 8e,2344.0,2932880.0,14311.0,ificom-2022.xlsx,2022.0,48.8725272666,2.31258256042,33544984.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,92051,NEUILLY SUR SEINE,3857.0,2898055.0,13881.0,ificom-2022.xlsx,2022.0,48.8853719688,2.26642584746,53539017.0
ILE-DE-FRANCE,VAL-DE-MARNE,94052,NOGENT SUR MARNE,338.0,2877186.0,9524.0,ificom-2022.xlsx,2022.0,48.8366634713,2.48166741533,3219112.0
ILE-DE-FRANCE,PARIS,75101,PARIS 1er,589.0,2832589.0,14142.0,ificom-2022.xlsx,2022.0,48.8626304852,2.33629344655,8329638.0
ILE-DE-FRANCE,PARIS,75104,PARIS 4e,954.0,2831332.0,14004.0,ificom-2022.xlsx,2022.0,48.854228282,2.35736193814,13359816.0
ILE-DE-FRANCE,ESSONNE,91477,PALAISEAU,76.0,2782407.0,9944.0,ificom-2022.xlsx,2022.0,48.7146765876,2.22881488083,755744.0
NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE,66.0,2759759.0,14534.0,ificom-2022.xlsx,2022.0,45.1435830664,1.51936836063,959244.0
LES-HAUTS-DE-FRANCE,OISE,60159,COMPIEGNE,114.0,2728272.0,13032.0,ificom-2022.xlsx,2022.0,49.3990601478,2.85317249363,1485648.0
ILE-DE-FRANCE,PARIS,75103,PARIS 3e,887.0,2653122.0,13157.0,ificom-2022.xlsx,2022.0,48.8630541318,2.35936105897,11670259.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06079,MANDELIEU LA NAPOULE,135.0,2583542.0,14558.0,ificom-2022.xlsx,2022.0,43.5380510468,6.91808936542,1965330.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06079,MANDELIEU LA NAPOULE,135.0,2583542.0,14558.0,ificom-2022.xlsx,2022.0,43.5380510468,6.91808936542,1965330.0
ILE-DE-FRANCE,PARIS,75118,PARIS 18e,948.0,2547934.0,11627.0,ificom-2022.xlsx,2022.0,48.8927350746,2.34871193387,11022396.0
ILE-DE-FRANCE,PARIS,75105,PARIS 5e,1782.0,2524413.0,10874.0,ificom-2022.xlsx,2022.0,48.8445086596,2.34985938556,19377468.0
GRAND-EST,AUBE,10387,TROYES,54.0,2521151.0,13016.0,ificom-2022.xlsx,2022.0,48.2967099637,4.07827967525,702864.0
ILE-DE-FRANCE,PARIS,75117,PARIS 17e,4084.0,2513268.0,10763.0,ificom-2022.xlsx,2022.0,48.8873371665,2.30748555949,43956092.0
AUVERGNE-RHONE-ALPES,DROME,26362,VALENCE,76.0,2511479.0,10671.0,ificom-2022.xlsx,2022.0,44.9229811667,4.91444013136,810996.0
CENTRE-VAL DE LOIRE,LOIRET,45232,OLIVET,55.0,2489825.0,11836.0,ificom-2022.xlsx,2022.0,47.8546997503,1.88823884753,650980.0
LES-HAUTS-DE-FRANCE,NORD,59368,LA MADELEINE,64.0,2486072.0,9666.0,ificom-2022.xlsx,2022.0,50.6548883138,3.06963722507,618624.0
BRETAGNE,ILLE-ET-VILAINE,35238,RENNES,651.0,2483808.0,11233.0,ificom-2022.xlsx,2022.0,48.1119791219,-1.68186449144,7312683.0
BRETAGNE,ILLE-ET-VILAINE,35238,RENNES,651.0,2483808.0,11233.0,ificom-2022.xlsx,2022.0,48.1119791219,-1.68186449144,7312683.0
BRETAGNE,ILLE-ET-VILAINE,35238,RENNES,651.0,2483808.0,11233.0,ificom-2022.xlsx,2022.0,48.1119791219,-1.68186449144,7312683.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06030,LE CANNET,158.0,2478350.0,11687.0,ificom-2022.xlsx,2022.0,43.5729768613,7.00642057758,1846546.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06030,LE CANNET,158.0,2478350.0,11687.0,ificom-2022.xlsx,2022.0,43.5729768613,7.00642057758,1846546.0
ILE-DE-FRANCE,PARIS,75102,PARIS 2e,385.0,2473198.0,11162.0,ificom-2022.xlsx,2022.0,48.8679033789,2.34410716666,4297370.0
NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN,80.0,2472298.0,10348.0,ificom-2022.xlsx,2022.0,44.7709411201,-0.616137682116,827840.0
